name,author,narrator,time,releasedate,language,stars,price
"Fortunately, the Milk...",Neil Gaiman,Neil Gaiman,58,2021-11-22,English,4.46,683
Discoveries in the Overworld,Winter Morgan,Summer Mc Cusker,109,2016-06-04,English,5.0,233
The Last Human,Lee Bacon,Paul Panting,402,2019-03-10,English,5.0,949
Welcome to Smellville,R.L.Stine,"Jordan Fisher, Dascha Polanco, Joniece Abbott-Pratt,",198,2020-09-29,English,4.46,585
An Explorer's Guide to the Nether,Winter Morgan,Summer Mc Cusker,110,2016-03-30,English,5.0,233
The Midnight Gang,David Walliams,"David Walliams, Peter Serafinowicz, Morwenna Banks,",369,2016-11-15,English,4.5,322
As the Falcon Flies,Franklin W.Dixon,Adam Verner,188,2022-04-01,English,4.46,305
The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,Devin Hunter,Ramon De Ocampo,131,2018-10-30,English,5.0,585
Pahua and the Soul Stealer,Lori M.Lee,Samantha Tan,672,2021-07-09,English,4.46,702
El monstruo marino secreto,Mattel,Vanessa Pérez Jurado,30,2022-01-04,Spanish,4.46,76
Sabotage on the Solar Express,"M.G.Leonard, Sam Sedgman","Elisa Paganelli, Jot Davies",335,2022-02-17,English,4.46,323
A Boy Called Christmas,Matt Haig,Stephen Fry,272,2016-03-11,English,4.5,569
"The 39 Clues, Book 4",Jude Watson,David Pittu,277,2009-06-23,English,5.0,468
"The 39 Clues, Book 3",Peter Lerangis,David Pittu,231,2009-03-03,English,5.0,468
The Disappearance,Franklin W.Dixon,Tim Gregory,230,2019-05-14,English,4.0,305
Once Upon a Crime,Robin Stevens,"Katie Leung, Rebecca Lee, Alexander Capon,",410,2021-05-08,English,4.46,615
Billionaire Boy,David Walliams,"David Walliams, Nitin Ganatra",188,2011-09-06,English,5.0,266
The Blue Lady of Coffin Hall,Carolyn Keene,Jorjeana Marie,232,2022-04-01,English,5.0,305
Danger at Dead Man's Pass,"M.G.Leonard, Sam Sedgman, Elisa Paganelli-illustrator",Jot Davies,408,2021-09-16,English,4.46,323
Unlocked,Shannon Messenger,Caitlin Kelly,962,2021-04-06,English,3.0,836
The Danger Gang,Tom Fletcher,"Tom Felton, Tom Fletcher",252,2020-01-10,English,4.46,615
